L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
2404295,117442,4976,2,16.00,23351.04,0.01,0.03,N,O,1995-10-30,1995-08-24,1995-11-01,NONE,RAIL,"carefully express accounts. slyly final pac"
2404295,31097,8607,3,23.00,23646.07,0.04,0.03,N,O,1995-09-11,1995-09-15,1995-10-06,"TAKE BACK RETURN",TRUCK,"foxes boost carefully against the express"
2404295,44689,2202,4,2.00,3267.36,0.04,0.08,N,O,1995-08-03,1995-08-16,1995-08-18,NONE,RAIL,"nag daringly "
2404295,82992,2993,5,48.00,94799.52,0.02,0.07,N,O,1995-07-21,1995-10-12,1995-07-24,"TAKE BACK RETURN",SHIP,", pending deposits. requests sleep"
2404295,36815,4325,6,29.00,50802.49,0.00,0.03,N,O,1995-09-24,1995-08-16,1995-10-05,NONE,AIR,"ntain blithely carefully"
2404295,133044,5558,7,24.00,25848.96,0.09,0.08,N,O,1995-09-04,1995-09-29,1995-09-23,"COLLECT COD","REG AIR","carefully furiously ironic platelets. foxe"
2404320,65834,8341,1,20.00,35996.60,0.05,0.04,N,O,1995-07-20,1995-07-06,1995-08-11,"COLLECT COD",TRUCK," across the reque"
2404320,56296,8802,2,21.00,26298.09,0.04,0.06,N,F,1995-06-12,1995-08-10,1995-06-25,"COLLECT COD",MAIL," slyly against the blithely spec"
2404320,165376,409,3,47.00,67744.39,0.09,0.00,R,F,1995-06-01,1995-07-20,1995-06-03,"COLLECT COD",SHIP,"ajole regular, regular somas. iron"
2404320,68796,3809,4,7.00,12353.53,0.09,0.02,N,F,1995-05-29,1995-08-13,1995-06-20,NONE,FOB,"lly ironic accounts will have to a"
2404320,44284,9293,5,42.00,51587.76,0.08,0.00,N,O,1995-08-21,1995-06-28,1995-09-16,NONE,RAIL,"e slyly express acc"
2404320,80756,757,6,27.00,46892.25,0.06,0.01,N,O,1995-06-26,1995-08-17,1995-07-17,NONE,AIR," pinto beans promise a"
2404320,62707,5214,7,36.00,60109.20,0.09,0.00,N,F,1995-06-06,1995-06-27,1995-06-22,"TAKE BACK RETURN",AIR," theodolites. furiously ironic platelets a"
2404321,105375,2906,1,9.00,12423.33,0.10,0.05,N,O,1996-04-09,1996-06-12,1996-05-09,NONE,FOB,"ctions cajole furiously final deposits"
2404321,22493,10000,2,9.00,12739.41,0.02,0.08,N,O,1996-05-20,1996-06-01,1996-05-31,NONE,"REG AIR","regular requests are accordin"
2404322,88112,621,1,10.00,11001.10,0.02,0.00,A,F,1993-04-25,1993-05-19,1993-05-20,"TAKE BACK RETURN",MAIL,"ct slyly unusu"
2404322,82538,63,2,15.00,22807.95,0.01,0.06,R,F,1993-06-09,1993-06-10,1993-06-21,"TAKE BACK RETURN",RAIL,"n, final pl"
2404323,105484,5485,1,23.00,34258.04,0.01,0.07,N,O,1996-12-24,1996-12-26,1997-01-14,"COLLECT COD",SHIP,"ve theodolites. caref"
2404323,61914,6927,2,42.00,78788.22,0.02,0.02,N,O,1996-11-06,1996-12-25,1996-12-06,"DELIVER IN PERSON",RAIL,"nt instructions "
2404323,176911,9429,3,25.00,49697.75,0.02,0.06,N,O,1996-12-14,1996-11-28,1997-01-02,"COLLECT COD",MAIL,"ess pinto beans. final platelets cajole exp"
2404323,138530,3557,4,30.00,47055.90,0.03,0.02,N,O,1997-01-20,1996-11-09,1997-02-07,NONE,FOB," theodolites"
2404323,58912,6428,5,48.00,89803.68,0.08,0.04,N,O,1997-01-08,1996-12-08,1997-01-23,"DELIVER IN PERSON",FOB," boost blithely iro"
2404324,118398,5932,1,11.00,15580.29,0.06,0.04,R,F,1994-04-25,1994-02-11,1994-05-18,"COLLECT COD",RAIL," ideas are quic"
2404324,106533,9044,2,15.00,23092.95,0.01,0.06,R,F,1994-03-09,1994-02-16,1994-03-18,"TAKE BACK RETURN","REG AIR","uriously unusual requests de"
2404324,97990,7991,3,47.00,93435.53,0.05,0.07,R,F,1994-04-08,1994-02-01,1994-05-02,NONE,FOB,"ironic frays sleep bold ideas. quietl"
2404324,117471,2494,4,44.00,65492.68,0.00,0.05,R,F,1994-03-31,1994-02-21,1994-04-30,"COLLECT COD",RAIL,"fily regular asympto"
2404324,119097,1609,5,1.00,1116.09,0.06,0.00,A,F,1994-03-28,1994-03-01,1994-04-25,NONE,AIR,"quickly special,"
2404325,140220,2735,1,47.00,59230.34,0.06,0.01,R,F,1992-08-25,1992-09-27,1992-09-14,"TAKE BACK RETURN",RAIL,"nes about the final, unusual pinto "
2404325,75152,7660,2,22.00,24797.30,0.09,0.01,R,F,1992-10-13,1992-09-25,1992-10-31,"COLLECT COD",SHIP,"nts. special foxes sleep furiously. qu"
2404325,71771,1772,3,41.00,71453.57,0.08,0.07,A,F,1992-09-14,1992-10-14,1992-10-11,"TAKE BACK RETURN","REG AIR","sly ruthless accou"
2404326,62494,2495,1,14.00,20390.86,0.10,0.05,N,F,1995-06-10,1995-04-13,1995-06-30,"COLLECT COD",MAIL,"ic foxes haggle across the careful foxes."
2404327,198443,8444,1,26.00,40077.44,0.03,0.01,N,O,1996-06-08,1996-03-26,1996-07-06,NONE,AIR,"gged ideas. e"
2404352,157314,2345,1,18.00,24683.58,0.06,0.00,R,F,1993-12-22,1993-12-09,1994-01-18,"DELIVER IN PERSON",FOB,"xpress ideas. regul"
2404352,166277,3826,2,6.00,8059.62,0.04,0.04,A,F,1994-02-02,1994-01-04,1994-02-25,NONE,AIR,"ly dogged platelets. furiously pending pack"
2404353,16641,9143,1,35.00,54517.40,0.00,0.07,N,O,1996-01-13,1995-11-26,1996-01-30,"COLLECT COD",TRUCK," carefully across the fu"
2404353,83863,1388,2,36.00,66486.96,0.00,0.00,N,O,1995-11-23,1995-12-17,1995-12-14,NONE,"REG AIR","fully final ideas wake quickly alongsid"
2404354,199009,6567,1,38.00,42104.00,0.04,0.03,A,F,1993-07-30,1993-07-01,1993-08-08,"DELIVER IN PERSON",RAIL,"al foxes wake carefu"
2404354,127971,7972,2,40.00,79958.80,0.01,0.04,R,F,1993-06-07,1993-07-30,1993-07-02,"DELIVER IN PERSON",RAIL,"uests against the express packa"
2404354,5262,263,3,18.00,21010.68,0.01,0.07,A,F,1993-07-26,1993-08-15,1993-08-21,"TAKE BACK RETURN",AIR,"ons haggle. quic"
2404354,29658,4663,4,41.00,65093.65,0.03,0.00,R,F,1993-08-05,1993-08-18,1993-08-25,NONE,TRUCK,"accounts. "
2404354,60272,5285,5,15.00,18484.05,0.02,0.04,A,F,1993-09-05,1993-07-24,1993-10-03,"TAKE BACK RETURN","REG AIR","arefully fluffily even requests. pe"
2404355,170845,3363,1,13.00,24905.92,0.09,0.01,N,O,1998-06-30,1998-05-17,1998-07-26,"TAKE BACK RETURN",FOB,"g carefull"
2404355,183268,3269,2,44.00,59455.44,0.01,0.04,N,O,1998-04-24,1998-04-30,1998-05-01,"TAKE BACK RETURN",SHIP,"sly final deposits cajole blithely against"
2404355,183024,8061,3,39.00,43173.78,0.04,0.01,N,O,1998-05-28,1998-04-13,1998-06-24,"TAKE BACK RETURN",TRUCK,"lms. accounts cajole car"
2404355,74737,9752,4,37.00,63334.01,0.04,0.08,N,O,1998-04-28,1998-04-06,1998-05-17,NONE,TRUCK,"was fluffily accordi"
2404356,176415,1450,1,47.00,70096.27,0.08,0.00,N,O,1997-06-13,1997-05-28,1997-06-25,"TAKE BACK RETURN",SHIP,"ions. quickly express instructions haggle"
2404356,193487,8526,2,22.00,34770.56,0.04,0.08,N,O,1997-07-24,1997-06-24,1997-08-18,NONE,MAIL,"y final theodolites use quickl"
2404356,119551,9552,3,11.00,17276.05,0.00,0.01,N,O,1997-07-12,1997-07-02,1997-07-21,"COLLECT COD",MAIL,"fily unusual accounts wake about the final,"
2404356,78363,5885,4,37.00,49630.32,0.01,0.04,N,O,1997-05-26,1997-06-25,1997-06-07,"COLLECT COD",AIR,"he special deposits. blithely furi"
2404356,31202,8712,5,25.00,28330.00,0.03,0.06,N,O,1997-05-21,1997-05-20,1997-06-09,"TAKE BACK RETURN",RAIL,"lent packages about the"
2404356,10968,3470,6,32.00,60126.72,0.06,0.03,N,O,1997-04-14,1997-05-16,1997-04-25,"DELIVER IN PERSON",MAIL," nod. unusual requests along the ruthlessly"
2404357,112743,277,1,5.00,8778.70,0.01,0.06,N,O,1996-11-11,1996-11-16,1996-11-25,NONE,MAIL,"ly ironic packages sleep final, ev"
2404357,70767,768,2,50.00,86888.00,0.08,0.01,N,O,1996-09-17,1996-11-19,1996-09-26,"TAKE BACK RETURN",MAIL," the idly silent deposits."
2404357,174274,6792,3,48.00,64716.96,0.04,0.07,N,O,1996-11-21,1996-10-03,1996-12-18,"TAKE BACK RETURN",RAIL," slyly even account"
2404357,22344,4847,4,49.00,62050.66,0.02,0.08,N,O,1996-10-24,1996-10-01,1996-11-14,"TAKE BACK RETURN",TRUCK,"ctions abov"
2404358,177591,7592,1,38.00,63406.42,0.02,0.05,N,O,1998-09-18,1998-08-31,1998-09-29,NONE,AIR," quickly ab"
2404358,162061,9610,2,8.00,8984.48,0.09,0.08,N,O,1998-08-06,1998-09-02,1998-08-18,NONE,AIR,"y carefully regular packages. regula"
2404359,198345,3384,1,1.00,1443.34,0.07,0.02,A,F,1995-04-04,1995-01-20,1995-04-28,NONE,TRUCK,"jole carefully quickly unusual multiplie"
2404359,178598,8599,2,38.00,63710.42,0.04,0.03,A,F,1995-04-15,1995-01-18,1995-05-03,"TAKE BACK RETURN",RAIL,"ajole furiously ideas. ruthlessly "
2404359,82421,7438,3,43.00,60347.06,0.00,0.00,A,F,1995-04-06,1995-03-05,1995-04-08,"COLLECT COD",RAIL,"quests around the in"
2404359,39228,4235,4,36.00,42019.92,0.00,0.05,R,F,1995-03-06,1995-03-15,1995-03-22,"DELIVER IN PERSON","REG AIR","carefully ironic pac"
2404384,43396,8405,1,2.00,2678.78,0.06,0.06,N,O,1998-11-17,1998-09-01,1998-12-16,"COLLECT COD",FOB," regular deposits. careful"
2404384,153173,5689,2,28.00,34332.76,0.09,0.06,N,O,1998-09-21,1998-10-04,1998-09-29,"DELIVER IN PERSON",TRUCK," furiously. slyly "
2404384,172796,5314,3,15.00,28031.85,0.10,0.03,N,O,1998-11-13,1998-09-30,1998-12-07,"DELIVER IN PERSON","REG AIR"," dolphins across the "
2404384,174355,6873,4,8.00,11434.80,0.01,0.07,N,O,1998-11-13,1998-10-02,1998-12-04,"DELIVER IN PERSON",AIR,"ly pending packages nag. slyly express pa"
2404384,170080,7632,5,9.00,10350.72,0.04,0.07,N,O,1998-10-11,1998-10-16,1998-10-12,"COLLECT COD",TRUCK,"ost carefully according to the blithely ru"
2404384,121382,1383,6,26.00,36487.88,0.07,0.02,N,O,1998-08-16,1998-08-30,1998-08-19,NONE,FOB,"the blithely final "
2404385,65821,834,1,2.00,3573.64,0.09,0.02,R,F,1992-09-11,1992-06-23,1992-09-18,NONE,AIR,"s about the"
2404385,40049,5058,2,40.00,39561.60,0.04,0.02,R,F,1992-07-12,1992-07-16,1992-08-07,"TAKE BACK RETURN",TRUCK,"n, final requests"
2404385,97367,7368,3,14.00,19101.04,0.09,0.01,R,F,1992-07-16,1992-06-24,1992-08-08,"TAKE BACK RETURN",TRUCK,"thely ironic requests are abo"
2404386,34402,6906,1,37.00,49446.80,0.00,0.01,R,F,1994-06-13,1994-05-06,1994-07-06,NONE,SHIP," express dependencie"
2404386,183047,602,2,37.00,41811.48,0.10,0.08,A,F,1994-04-23,1994-03-26,1994-05-07,"DELIVER IN PERSON",AIR,"layers boost carefully silent, ironic pint"
2404386,67446,2459,3,11.00,15547.84,0.07,0.06,R,F,1994-03-03,1994-04-24,1994-03-15,"DELIVER IN PERSON",MAIL,"ents; furiously"
2404386,151971,4487,4,2.00,4045.94,0.02,0.06,R,F,1994-03-04,1994-03-26,1994-03-22,"DELIVER IN PERSON",MAIL,"y final asympto"
2404387,39954,9955,1,38.00,71970.10,0.05,0.05,N,O,1998-08-07,1998-07-20,1998-08-15,"DELIVER IN PERSON",MAIL," fluffily against the qu"
2404387,105485,5486,2,30.00,44714.40,0.08,0.06,N,O,1998-05-13,1998-07-15,1998-05-21,"COLLECT COD",RAIL,"efully alon"
2404387,80580,581,3,31.00,48377.98,0.00,0.00,N,O,1998-09-05,1998-06-30,1998-09-14,"DELIVER IN PERSON",MAIL,"ons cajole."
2404388,117518,30,1,30.00,46065.30,0.10,0.03,R,F,1993-04-22,1993-03-21,1993-05-19,NONE,FOB,"quests: quickl"
2404388,119808,4831,2,5.00,9139.00,0.06,0.02,A,F,1993-03-17,1993-04-29,1993-03-29,"TAKE BACK RETURN",TRUCK,"telets promise. carefully"
2404388,198883,8884,3,9.00,17836.92,0.02,0.03,R,F,1993-05-06,1993-03-26,1993-05-20,NONE,RAIL,"y pending packages. carefully express plate"
2404388,19918,2420,4,27.00,49623.57,0.07,0.06,A,F,1993-06-01,1993-05-08,1993-06-17,"TAKE BACK RETURN",SHIP,"yly busy pi"
2404388,160027,2544,5,34.00,36958.68,0.02,0.07,R,F,1993-04-15,1993-05-04,1993-04-29,NONE,TRUCK,"ronic asympto"
2404389,145118,2661,1,50.00,58155.50,0.10,0.07,N,O,1997-11-20,1997-12-21,1997-12-03,NONE,AIR,"se about the furiously special accoun"
2404389,194704,9743,2,3.00,5396.10,0.07,0.07,N,O,1997-12-03,1997-12-21,1997-12-18,"TAKE BACK RETURN","REG AIR","e blithely above the blithely bo"
2404389,181152,1153,3,39.00,48092.85,0.06,0.00,N,O,1997-12-10,1997-11-17,1998-01-04,"DELIVER IN PERSON",MAIL,"he quickly iron"
2404389,6732,4233,4,5.00,8193.65,0.02,0.01,N,O,1997-11-10,1997-11-17,1997-11-16,"DELIVER IN PERSON","REG AIR","nding ideas sleep accordin"
2404390,156100,8616,1,13.00,15029.30,0.04,0.01,N,O,1995-09-29,1995-09-23,1995-10-15,"TAKE BACK RETURN",TRUCK,"osits are fi"
2404390,166544,6545,2,10.00,16105.40,0.06,0.07,N,O,1995-11-17,1995-10-13,1995-12-09,NONE,FOB,"ular dolphins prin"
2404390,88557,6082,3,28.00,43275.40,0.02,0.05,N,O,1995-07-28,1995-09-03,1995-08-02,"TAKE BACK RETURN",AIR,"osits. express foxes alongside of the qui"
2404390,163087,8120,4,18.00,20701.44,0.03,0.02,N,O,1995-10-15,1995-09-21,1995-11-05,NONE,RAIL,"deposits are a"
2404390,195255,5256,5,12.00,16203.00,0.07,0.01,N,O,1995-11-18,1995-10-10,1995-12-16,"DELIVER IN PERSON",MAIL,"eposits around the quickly final deposit"
2404391,8556,6057,1,25.00,36613.75,0.07,0.02,N,O,1997-03-06,1997-01-25,1997-03-28,NONE,FOB,"gular accounts wake stealthily along"
2404391,195168,207,2,48.00,60631.68,0.04,0.08,N,O,1997-01-01,1997-02-13,1997-01-09,"COLLECT COD",TRUCK,"ructions among the ironi"
2404391,180060,2579,3,26.00,29641.56,0.09,0.05,N,O,1997-02-27,1997-01-23,1997-03-10,"COLLECT COD",FOB," packages. i"
2404391,55084,95,4,21.00,21820.68,0.03,0.02,N,O,1996-12-04,1997-02-03,1996-12-09,"COLLECT COD",RAIL,"inal accounts haggl"
2404416,58435,941,1,11.00,15327.73,0.01,0.06,A,F,1995-06-07,1995-05-28,1995-06-16,"TAKE BACK RETURN","REG AIR"," deposits are beyond the slyly express acc"
2404416,112609,5121,2,5.00,8108.00,0.06,0.07,A,F,1995-03-06,1995-05-05,1995-03-17,NONE,MAIL,"eans across the even, regular "
2404416,4906,7407,3,33.00,59759.70,0.07,0.01,A,F,1995-05-18,1995-05-04,1995-05-26,"COLLECT COD","REG AIR","refully. furiously bold packages "
2404416,53695,6201,4,43.00,70893.67,0.03,0.03,R,F,1995-05-19,1995-05-29,1995-06-09,"TAKE BACK RETURN",TRUCK,"yly even theodolites "
2404416,40763,5772,5,18.00,30667.68,0.01,0.06,N,O,1995-06-25,1995-04-23,1995-06-26,"COLLECT COD",TRUCK,"xes against the bo"
2404417,63462,8475,1,46.00,65571.16,0.00,0.00,N,O,1998-05-17,1998-06-03,1998-05-26,"TAKE BACK RETURN",FOB,"ully special r"
2404417,199074,4113,2,10.00,11730.70,0.09,0.01,N,O,1998-06-03,1998-07-02,1998-06-24,"DELIVER IN PERSON",RAIL,"dly. even, ironi"
2404417,28919,3924,3,38.00,70220.58,0.10,0.07,N,O,1998-07-14,1998-06-29,1998-07-29,"DELIVER IN PERSON",SHIP,"es wake slyly regular "
2404418,159911,2427,1,35.00,68981.85,0.03,0.02,N,O,1997-02-18,1996-12-08,1997-03-15,NONE,"REG AIR","s. dolphins impress blithely: slyly iro"
2404418,12279,4781,2,9.00,10721.43,0.01,0.06,N,O,1996-11-24,1997-01-12,1996-12-07,"COLLECT COD",TRUCK," deposits use. sl"
2404419,67811,7812,1,36.00,64037.16,0.09,0.02,R,F,1992-10-18,1992-11-30,1992-10-19,NONE,RAIL,"refully during"
2404419,90518,8046,2,33.00,49780.83,0.04,0.06,R,F,1992-11-10,1992-11-09,1992-11-27,"DELIVER IN PERSON",AIR,"deas detect blit"
2404419,127227,9740,3,13.00,16304.86,0.09,0.03,R,F,1993-02-03,1992-11-23,1993-02-09,"DELIVER IN PERSON","REG AIR","ses. regular courts wake final req"
2404419,93267,5777,4,37.00,46629.62,0.01,0.01,A,F,1993-01-14,1992-11-05,1993-02-11,NONE,SHIP,"e blithely. carefully bold foxes "
2404419,136060,1087,5,49.00,53706.94,0.04,0.02,A,F,1993-01-08,1992-12-27,1993-01-26,"COLLECT COD",MAIL,"arefully regular, final foxes. final br"
2404419,147374,4917,6,45.00,63961.65,0.05,0.05,A,F,1992-11-18,1992-11-13,1992-12-03,"DELIVER IN PERSON",MAIL,"uctions. blithely even accounts are careful"
2404419,104024,6535,7,37.00,38036.74,0.03,0.00,A,F,1992-11-27,1992-12-25,1992-12-13,"DELIVER IN PERSON",FOB,"requests are carefully a"
2404420,130133,7673,1,8.00,9305.04,0.01,0.08,N,O,1997-09-23,1997-08-02,1997-09-29,"DELIVER IN PERSON",TRUCK,"ckages. pinto beans s"
2404420,132748,288,2,10.00,17807.40,0.07,0.01,N,O,1997-08-22,1997-07-09,1997-08-31,"DELIVER IN PERSON",TRUCK," slyly sly p"
2404420,87051,4576,3,24.00,24913.20,0.01,0.04,N,O,1997-06-15,1997-08-14,1997-06-20,"TAKE BACK RETURN","REG AIR","ns. carefully final accounts br"
2404420,60988,8507,4,1.00,1948.98,0.04,0.02,N,O,1997-07-13,1997-07-16,1997-08-12,NONE,AIR,"yly final accounts. "
2404421,143370,8399,1,21.00,29680.77,0.01,0.07,N,O,1996-03-06,1996-03-18,1996-04-02,"DELIVER IN PERSON",FOB,"ickly. quickly special deposit"
2404422,198335,855,1,27.00,38699.91,0.01,0.01,N,O,1997-09-01,1997-07-13,1997-09-24,"DELIVER IN PERSON",TRUCK,"lphins. ca"
2404422,14781,7283,2,49.00,83093.22,0.08,0.05,N,O,1997-08-20,1997-07-15,1997-08-30,"TAKE BACK RETURN",MAIL,"thely regular"
2404422,12362,4864,3,14.00,17841.04,0.00,0.00,N,O,1997-09-07,1997-06-14,1997-09-14,NONE,AIR,"will have to sleep across th"
2404422,161987,9536,4,19.00,38930.62,0.01,0.02,N,O,1997-06-09,1997-06-29,1997-06-16,"DELIVER IN PERSON",AIR,"ithely special pack"
2404423,133716,1256,1,32.00,55990.72,0.04,0.07,A,F,1993-10-23,1993-11-14,1993-11-09,"DELIVER IN PERSON","REG AIR","requests. quickly ironic id"
2404423,164238,1787,2,39.00,50786.97,0.05,0.05,R,F,1993-10-25,1993-09-30,1993-11-11,"TAKE BACK RETURN",RAIL,"s after the ironic asymptotes are about the"
2404423,148007,5550,3,21.00,22155.00,0.07,0.04,A,F,1993-10-14,1993-11-10,1993-11-05,"COLLECT COD",FOB,"ess deposits slee"
2404423,143473,3474,4,20.00,30329.40,0.05,0.04,A,F,1993-11-19,1993-10-06,1993-12-11,NONE,RAIL,"e instructi"
2404448,23146,3147,1,50.00,53457.00,0.08,0.04,N,O,1997-12-27,1997-12-31,1998-01-15,NONE,"REG AIR","ts cajole quickly according to the bl"
2404448,13181,5683,2,30.00,32825.40,0.01,0.00,N,O,1997-12-19,1997-12-21,1997-12-23,"DELIVER IN PERSON",MAIL,"ly slyly final dep"
2404448,130740,3254,3,11.00,19478.14,0.03,0.00,N,O,1998-02-16,1997-12-11,1998-02-20,"DELIVER IN PERSON","REG AIR","ges. blithely even instructions affix b"
2404449,68476,5995,1,47.00,67890.09,0.00,0.02,A,F,1995-04-29,1995-05-24,1995-05-21,"TAKE BACK RETURN",RAIL," express packages nag slyly "
2404449,68696,8697,2,2.00,3329.38,0.05,0.00,R,F,1995-06-05,1995-05-22,1995-06-16,NONE,TRUCK,"lithely even accounts. accounts bo"
2404449,161743,4260,3,10.00,18047.40,0.07,0.08,R,F,1995-03-23,1995-05-30,1995-03-27,"TAKE BACK RETURN",AIR,"s are fluffily. furiously bold f"
2404449,13525,3526,4,13.00,18700.76,0.07,0.01,A,F,1995-04-16,1995-04-28,1995-04-21,"COLLECT COD",AIR," packages: "
2404449,110362,7896,5,46.00,63128.56,0.03,0.08,R,F,1995-04-11,1995-04-16,1995-05-11,"TAKE BACK RETURN",TRUCK," enticing deposits boost fluffily boldly ir"
2404449,48873,3882,6,28.00,51012.36,0.06,0.00,A,F,1995-04-07,1995-04-19,1995-04-29,NONE,AIR," slyly. furiously"
2404449,3832,1333,7,31.00,53810.73,0.01,0.06,A,F,1995-04-27,1995-05-14,1995-05-26,"TAKE BACK RETURN","REG AIR"," deposits. f"
2404450,587,3088,1,6.00,8925.48,0.03,0.06,A,F,1995-02-26,1995-03-07,1995-03-15,"DELIVER IN PERSON",MAIL," quickly even req"
2404450,56547,6548,2,26.00,39092.04,0.02,0.00,A,F,1995-02-19,1995-02-01,1995-03-14,"TAKE BACK RETURN","REG AIR",". fluffily regular packages wake caref"
2404450,179771,2289,3,6.00,11104.62,0.00,0.08,A,F,1995-02-02,1995-03-13,1995-02-24,"COLLECT COD",MAIL,"sly express"
2404450,5105,5106,4,18.00,18181.80,0.07,0.05,R,F,1995-01-03,1995-02-11,1995-01-13,NONE,MAIL,"ts. close ideas integrate slyly regul"
2404450,185175,7694,5,49.00,61748.33,0.01,0.06,R,F,1994-12-25,1995-03-14,1994-12-30,"COLLECT COD",MAIL,"cajole. carefully even deposits aga"
2404450,30885,3389,6,20.00,36317.60,0.00,0.02,R,F,1995-02-14,1995-03-06,1995-02-17,"TAKE BACK RETURN",MAIL,"ly regular packages! quickly "
2404450,80972,3481,7,46.00,89836.62,0.07,0.00,R,F,1994-12-18,1995-01-14,1995-01-01,"DELIVER IN PERSON",AIR,"g to the carefully regu"
2404451,93159,687,1,6.00,6912.90,0.02,0.03,N,O,1995-07-28,1995-05-12,1995-08-07,"COLLECT COD",TRUCK," deposits. furiously fin"
2404451,117927,5461,2,17.00,33063.64,0.01,0.00,N,O,1995-07-26,1995-06-30,1995-07-28,"TAKE BACK RETURN",AIR,"y slyly reg"
2404451,187963,482,3,35.00,71783.60,0.10,0.07,R,F,1995-04-11,1995-06-27,1995-04-19,NONE,RAIL,"fily special"
2404451,89473,9474,4,12.00,17549.64,0.00,0.00,R,F,1995-04-03,1995-06-05,1995-04-16,"TAKE BACK RETURN",SHIP,"lly according to the "
2404451,160096,2613,5,11.00,12716.99,0.08,0.07,N,O,1995-07-26,1995-05-25,1995-08-25,"DELIVER IN PERSON",MAIL,"ular platelets. furiously express p"
2404451,121699,4212,6,42.00,72268.98,0.07,0.05,A,F,1995-04-21,1995-06-19,1995-04-24,"TAKE BACK RETURN",SHIP,"ic deposits "
2404452,192057,4577,1,30.00,34471.50,0.05,0.08,A,F,1994-04-22,1994-06-02,1994-04-26,NONE,TRUCK,"ic deposits against the qui"
2404452,100791,5812,2,32.00,57337.28,0.09,0.02,A,F,1994-07-01,1994-05-23,1994-07-16,"DELIVER IN PERSON",FOB,"ly against the accounts. fluffily r"
2404452,188827,6382,3,11.00,21074.02,0.03,0.03,A,F,1994-06-06,1994-04-15,1994-06-30,"DELIVER IN PERSON",FOB,"ages. asympt"
2404452,10836,5839,4,7.00,12227.81,0.08,0.07,R,F,1994-04-09,1994-04-28,1994-04-29,"DELIVER IN PERSON","REG AIR"," theodolites. silent foxes ar"
2404453,154702,4703,1,49.00,86078.30,0.03,0.06,R,F,1994-01-11,1993-11-11,1994-01-16,"DELIVER IN PERSON",TRUCK,", ironic re"
2404454,179741,7293,1,36.00,65546.64,0.02,0.00,A,F,1992-12-21,1993-01-24,1993-01-01,"DELIVER IN PERSON",AIR,"e unusual dol"
2404454,105217,5218,2,29.00,35444.09,0.10,0.04,A,F,1993-02-05,1993-01-04,1993-03-02,"COLLECT COD",MAIL,"ptotes. furiously special "
2404454,177263,9781,3,36.00,48249.36,0.01,0.02,R,F,1993-02-02,1993-01-27,1993-02-22,"DELIVER IN PERSON",RAIL,"s sleep fluffily around the instruct"
2404454,56625,4141,4,37.00,58519.94,0.05,0.04,R,F,1993-01-01,1992-12-17,1993-01-08,"DELIVER IN PERSON",AIR,"arefully e"
2404454,88016,525,5,18.00,18072.18,0.00,0.02,R,F,1993-03-02,1992-12-10,1993-03-25,"TAKE BACK RETURN","REG AIR","yly pending platelets a"
2404454,77618,2633,6,7.00,11169.27,0.10,0.06,R,F,1993-01-07,1993-02-01,1993-02-04,"COLLECT COD",FOB,"ithely silent foxes. warhorses nag furi"
2404455,144827,7342,1,25.00,46795.50,0.08,0.04,N,O,1997-02-10,1997-03-02,1997-02-17,"TAKE BACK RETURN","REG AIR","ronic, express theodolites sleep "
2404455,106504,4035,2,38.00,57399.00,0.10,0.05,N,O,1997-03-06,1997-03-07,1997-03-17,NONE,SHIP,"slyly even accounts. sly"
2404455,4203,1704,3,27.00,29894.40,0.01,0.03,N,O,1997-01-26,1997-03-20,1997-01-30,NONE,TRUCK,"carefully above the slyly final gifts"
2404455,30111,112,4,35.00,36438.85,0.03,0.04,N,O,1997-04-19,1997-02-26,1997-05-17,"TAKE BACK RETURN",FOB,"uriously final requests. deposits mold qui"
2404455,63624,1143,5,40.00,63504.80,0.04,0.05,N,O,1997-01-17,1997-04-01,1997-02-12,"TAKE BACK RETURN",FOB,"ests are daringly regula"
2404480,192069,2070,1,32.00,37153.92,0.07,0.03,N,O,1998-07-14,1998-06-20,1998-07-19,NONE,"REG AIR","ar accounts among the fluff"
2404480,98590,3609,2,27.00,42891.93,0.02,0.01,N,O,1998-06-12,1998-06-18,1998-06-18,"COLLECT COD",TRUCK,"nis are furiou"
2404480,195962,8482,3,6.00,12347.76,0.09,0.08,N,O,1998-06-19,1998-06-23,1998-07-05,"COLLECT COD",SHIP,"y along the furiously final deposits"
2404480,126386,8899,4,43.00,60732.34,0.08,0.02,N,O,1998-06-10,1998-06-10,1998-06-26,"COLLECT COD",TRUCK,"epitaphs. sil"
2404480,160895,8444,5,45.00,88015.05,0.04,0.00,N,O,1998-07-27,1998-06-11,1998-08-17,"COLLECT COD",AIR,"s integrate special requests. eve"
2404480,153574,1120,6,21.00,34178.97,0.03,0.02,N,O,1998-06-03,1998-05-14,1998-06-04,"TAKE BACK RETURN",TRUCK," instructions integra"
2404480,104084,4085,7,35.00,38082.80,0.06,0.05,N,O,1998-06-13,1998-05-25,1998-07-12,"COLLECT COD",RAIL,"hins nag sly"
2404481,132105,2106,1,25.00,28427.50,0.02,0.00,R,F,1995-04-18,1995-05-13,1995-04-22,NONE,"REG AIR","nic theodolites according to "
