O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
3023395,43624,F,265095.07,1994-04-14,3-MEDIUM,"Clerk#000000778",0,"slyly final requests. flu"
3023396,113663,F,81017.97,1992-10-14,2-HIGH,"Clerk#000000226",0,"ic requests along the quickly silent pinto beans sleep"
3023397,80627,O,119452.60,1995-11-15,2-HIGH,"Clerk#000000443",0,"cial, pending deposits. even packages must sleep a"
3023398,134656,O,80244.73,1998-03-07,5-LOW,"Clerk#000000668",0," regular instructions sleep above the foxes. regular reques"
3023399,112471,F,236157.54,1992-05-11,"4-NOT SPECIFIED","Clerk#000000337",0,"eas. furiously regula"
3023424,131506,F,100312.64,1994-04-14,3-MEDIUM,"Clerk#000000209",0,"uests above the fluffily regular pains boost"
3023425,104143,O,193541.02,1996-06-13,3-MEDIUM,"Clerk#000000376",0,", final packages. daring"
3023426,123292,F,182513.14,1995-01-05,2-HIGH,"Clerk#000000065",0,"quests boost. blithe"
3023427,57214,F,74222.89,1994-09-15,"4-NOT SPECIFIED","Clerk#000000717",0,"deposits are carefully. final, bold"
3023428,94567,O,181818.36,1996-08-31,2-HIGH,"Clerk#000000718",0," deposits. ideas nag enticingly carefully regular deposits."
3023429,122047,F,94269.24,1993-09-18,5-LOW,"Clerk#000000251",0,"ructions: quickly pending packages nag carefully. quickl"
3023430,143834,F,70650.78,1992-02-10,3-MEDIUM,"Clerk#000000833",0,"dolites nag blithely pending account"
3023431,14494,F,53132.59,1992-05-14,2-HIGH,"Clerk#000000701",0,"s. unusual, pending accounts across the bold, b"
3023456,117184,F,9769.67,1992-01-23,"4-NOT SPECIFIED","Clerk#000000328",0," carefully final pinto beans? carefully silent dinos detect slyly slyly"
3023457,148261,F,213559.72,1992-11-25,5-LOW,"Clerk#000000394",0,"efully above the quickly fin"
3023458,148379,O,190827.58,1996-03-21,1-URGENT,"Clerk#000000463",0,"lly regular accounts after the quickly pending deposits use acc"
3023459,50056,F,207955.28,1994-11-10,"4-NOT SPECIFIED","Clerk#000000541",0,"hely regular forges integrate blithely. furiously even re"
3023460,90253,F,51729.40,1995-04-10,3-MEDIUM,"Clerk#000000654",0,"ggle. carefully ironic hockey players serve blithely about the regul"
3023461,48601,O,196781.29,1997-09-08,"4-NOT SPECIFIED","Clerk#000000861",0,"sly at the special requests. slyly ironic foxes sle"
3023462,54463,O,279196.45,1997-12-10,5-LOW,"Clerk#000000099",0,"arhorses cajole carefully along the ironic pinto beans. "
3023463,49402,F,122167.54,1992-08-20,2-HIGH,"Clerk#000000696",0,"ular dependencies. carefully pending account"
3023488,43222,O,156369.63,1995-08-04,5-LOW,"Clerk#000000379",0," beans. quickly regular"
3023489,104843,F,134171.89,1992-09-02,5-LOW,"Clerk#000000143",0,"pinto beans kindle? slyl"
3023490,36091,F,121963.69,1994-12-12,3-MEDIUM,"Clerk#000000590",0,"al packages. special package"
3023491,126391,F,313158.15,1992-11-22,"4-NOT SPECIFIED","Clerk#000000446",0,"e quickly bold theodolites promise carefully final pinto beans. r"
3023492,89008,O,191620.13,1998-03-06,2-HIGH,"Clerk#000000542",0,"gular packages against the final somas boost quickly beyond the fluffily fi"
3023493,129622,O,111328.82,1997-02-11,5-LOW,"Clerk#000000319",0," requests wake furiously against the fu"
3023494,98563,O,4145.23,1998-08-02,2-HIGH,"Clerk#000000242",0,"side of the accounts. carefully regular pinto beans are. reque"
3023495,85612,F,76566.21,1992-12-01,1-URGENT,"Clerk#000000221",0,"ost. daring, ironic"
3023520,71072,F,392155.15,1993-08-03,5-LOW,"Clerk#000000078",0,"ons; final, pending theodoli"
3023521,53602,F,215570.12,1993-06-21,3-MEDIUM,"Clerk#000000372",0,"sly regular dependencies. enticing theodolites haggle regu"
3023522,119354,O,97967.96,1997-09-09,5-LOW,"Clerk#000000435",0,"al, final foxes inte"
3023523,22073,O,378385.67,1997-06-12,3-MEDIUM,"Clerk#000000071",0,"ccounts print fluffily. accounts sleep along the slyly final accounts! ent"
3023524,15182,O,243363.82,1998-01-30,"4-NOT SPECIFIED","Clerk#000000872",0," slyly along the requests. blithely ironic depo"
3023525,1240,O,65977.49,1997-11-28,"4-NOT SPECIFIED","Clerk#000000018",0,"sleep around the slyly even accounts. qu"
3023526,115354,O,229263.19,1996-11-20,"4-NOT SPECIFIED","Clerk#000000427",0,"s solve quickly asymptotes. slyly pending deposits cajole "
3023527,149548,P,206869.62,1995-03-31,1-URGENT,"Clerk#000000510",0,"theodolites according to the ironic, special pinto beans caj"
3023552,34864,F,210759.37,1992-08-04,2-HIGH,"Clerk#000000696",0,", regular requests sleep furiously dog"
3023553,33875,O,212042.18,1997-10-11,2-HIGH,"Clerk#000000583",0,"s. quickly unusual accounts impress b"
3023554,76550,O,133231.36,1998-06-20,2-HIGH,"Clerk#000000422",0,"y enticing platelets. slyly bol"
3023555,20476,P,163446.09,1995-03-17,2-HIGH,"Clerk#000000945",0,"nis are quickly. blithely regular deposits use blithely above the slyly bol"
3023556,17134,F,125755.43,1994-03-15,"4-NOT SPECIFIED","Clerk#000000201",0,"riously regular packages will have to affix daringly asymptotes. slyly iron"
3023557,117373,O,140573.59,1997-05-28,2-HIGH,"Clerk#000000620",0,"ts sleep blithely regular dependencies. furious"
3023558,6217,F,199196.74,1994-11-14,"4-NOT SPECIFIED","Clerk#000000376",0," regular hockey players. bold, pending theodolites along the sly"
3023559,72124,O,177481.35,1998-07-31,2-HIGH,"Clerk#000000707",0," excuses haggle carefully furiously final ideas. s"
3023584,34333,O,137760.03,1995-11-03,2-HIGH,"Clerk#000000058",0,"blithely. carefully unusual do"
3023585,131648,O,186399.57,1995-11-29,"4-NOT SPECIFIED","Clerk#000000671",0,"ccording to the slow, thin deposits. thin packages use requests."
3023586,97708,F,252547.38,1994-08-17,5-LOW,"Clerk#000000313",0,"ing to the regular, ste"
3023587,95962,O,131177.54,1996-05-24,5-LOW,"Clerk#000000744",0,"lent ideas. pending packages use slyly even requests. regular multipliers "
3023588,838,F,202984.97,1993-06-11,5-LOW,"Clerk#000000624",0," express, special platelets according to the quickly bold packa"
3023589,132094,F,301005.58,1992-09-26,"4-NOT SPECIFIED","Clerk#000000464",0,". blithely final pin"
3023590,81121,F,61733.19,1993-12-03,2-HIGH,"Clerk#000000603",0,". slyly even packages cajole furiously. reg"
3023591,32458,O,216223.92,1995-07-23,5-LOW,"Clerk#000000347",0,"y about the blithely pending courts. regular dependencies use caref"
3023616,120013,O,140505.82,1996-06-18,3-MEDIUM,"Clerk#000000783",0,"dencies cajole blithely pending theodolit"
3023617,135911,P,233280.56,1995-05-02,"4-NOT SPECIFIED","Clerk#000000483",0,"ymptotes. even, regular courts should cajole furiously. ironic theodolit"
3023618,41806,F,109958.38,1993-02-20,"4-NOT SPECIFIED","Clerk#000000613",0,"s. slyly careful pinto beans across the slyly i"
3023619,17762,O,193463.47,1997-08-06,1-URGENT,"Clerk#000000344",0,": regular instructions are alongside of the dependencies. "
3023620,17623,F,184431.53,1992-07-12,2-HIGH,"Clerk#000000566",0,"ing to the blithely bold requests. f"
3023621,61453,O,262940.75,1998-03-15,"4-NOT SPECIFIED","Clerk#000000251",0,"fluffily across the fina"
3023622,89491,O,274102.71,1995-11-04,2-HIGH,"Clerk#000000394",0,"s. express, ironic ideas engage slyly silent excuses. ironic dependencies abou"
3023623,3656,O,143655.97,1996-06-08,3-MEDIUM,"Clerk#000000452",0,"fy accounts promise quickly bold frays. express accounts haggle blithely "
3023648,92326,F,100487.28,1995-02-22,2-HIGH,"Clerk#000000860",0,"beans haggle after the furiously final foxes. carefully special deposits"
3023649,98389,F,68692.14,1994-09-19,5-LOW,"Clerk#000000937",0,"e even, even instructions. doggedly final excuses haggle q"
3023650,18653,O,315267.12,1995-08-28,"4-NOT SPECIFIED","Clerk#000000186",0,"iously across the slyly ir"
3023651,147014,O,178472.89,1998-06-04,1-URGENT,"Clerk#000000430",0," pending realms. express, ironic accounts against the carefully pending d"
3023652,61792,F,68993.87,1994-01-28,1-URGENT,"Clerk#000000517",0,"onic packages. slow accounts along the blithely unusual frets u"
3023653,64402,F,140080.12,1993-06-22,2-HIGH,"Clerk#000000977",0,"ress blithely about"
3023654,1147,O,205492.75,1996-06-06,3-MEDIUM,"Clerk#000000654",0,"grate deposits. boldly regula"
3023655,44857,O,211620.36,1997-03-11,1-URGENT,"Clerk#000000377",0,"ld accounts boost against the ev"
3023680,147022,F,291875.17,1994-07-04,3-MEDIUM,"Clerk#000000097",0,"al deposits haggle carefully silently final Tiresias. furiously e"
3023681,41653,F,85811.91,1994-12-10,5-LOW,"Clerk#000000424",0,"foxes use never across the even, regular theodolites; "
3023682,131461,O,193479.36,1996-03-29,2-HIGH,"Clerk#000000875",0,"ial requests. ironic dependencies cajole according to the regular grouche"
3023683,83575,O,169530.42,1995-11-16,2-HIGH,"Clerk#000000077",0,"nding forges haggle slyly blithely "
3023684,38902,O,190223.84,1996-05-20,1-URGENT,"Clerk#000000176",0,"atelets sleep. furiously ironic requests caj"
3023685,93962,O,255992.82,1996-05-06,2-HIGH,"Clerk#000000060",0,"yly final instructions wake across the blithely express packages. regular i"
3023686,15743,O,259181.32,1995-07-05,3-MEDIUM,"Clerk#000000281",0,"lyly express requests are slyly. even,"
3023687,128663,F,123047.24,1993-07-10,1-URGENT,"Clerk#000000642",0,"oxes use pending foxes. blithely bold accounts lose quickly. fluffil"
3023712,32164,F,156102.04,1993-10-03,5-LOW,"Clerk#000000736",0,"regular packages detect closely furiously unusual pinto beans"
3023713,100375,F,204437.24,1993-03-02,1-URGENT,"Clerk#000000179",0,"ic, express packages sleep slyly according to the ironic, ironic dep"
3023714,72778,P,133396.98,1995-04-15,5-LOW,"Clerk#000000135",0,"onic foxes haggle across the furio"
3023715,50665,F,264296.19,1992-03-09,"4-NOT SPECIFIED","Clerk#000000209",0,"wake. enticing, ironic requests about the fluffily regular asymptotes "
3023716,98701,F,13404.50,1993-05-15,3-MEDIUM,"Clerk#000000730",0,"ly express requests: blithely regular ideas abo"
3023717,140861,O,257738.47,1996-05-18,1-URGENT,"Clerk#000000449",0,"pinto beans are slyly ironic, ironic pinto beans. slyly regular accounts ha"
3023718,145033,F,31507.00,1992-06-30,5-LOW,"Clerk#000000284",0,"dolites try to promise about the unusual "
3023719,45649,O,296243.62,1997-05-04,"4-NOT SPECIFIED","Clerk#000000121",0,"ts are quickly dependencies. final packages wake across th"
3023744,107062,F,249493.97,1993-03-02,3-MEDIUM,"Clerk#000000596",0," carefully. furiously regular accounts alongside of the reg"
3023745,129085,F,172497.91,1993-01-08,5-LOW,"Clerk#000000465",0,"ngside of the regularly silent accounts. quickly d"
3023746,74557,F,87769.81,1994-01-16,3-MEDIUM,"Clerk#000000511",0,"ons ought to hinder carefully along the pack"
3023747,95900,O,159605.42,1998-04-17,3-MEDIUM,"Clerk#000000929",0,"dle slyly ironic depths-- even requests nag. slyly regular gro"
3023748,38843,F,178693.83,1993-08-18,1-URGENT,"Clerk#000000826",0,"after the carefully even accounts. blithely express ideas c"
3023749,26590,O,164241.00,1995-08-04,2-HIGH,"Clerk#000000155",0,"ions. carefully fina"
3023750,42670,O,21846.82,1995-04-07,5-LOW,"Clerk#000000941",0," quickly furiously ironic theodo"
3023751,137297,F,83850.38,1994-09-21,1-URGENT,"Clerk#000000686",0,"layers. slyly regular deposits wake against the regular, even packages. s"
3023776,99526,F,168518.07,1993-10-12,2-HIGH,"Clerk#000000182",0,"Tiresias. slyly idle packages are quickly "
3023777,82207,F,169054.99,1995-01-13,2-HIGH,"Clerk#000000765",0,"s impress furiously silent theodolites. special, even theodolites wake brave"
3023778,147718,F,75974.50,1992-03-05,1-URGENT,"Clerk#000000443",0,"s. quickly pending packages about the pending platelets haggle quickly among"
3023779,38512,F,208382.99,1993-07-17,5-LOW,"Clerk#000000301",0,"ously final ideas. fluffy, express braids against the special packages hagg"
3023780,18463,O,98707.41,1995-08-04,5-LOW,"Clerk#000000334",0,"yly regular requests wake slyly across the furiously regular orbits. "
3023781,102055,O,22284.48,1995-06-19,2-HIGH,"Clerk#000000843",0,"st the carefully even pi"
3023782,127384,O,325023.09,1995-11-23,1-URGENT,"Clerk#000000853",0,"after the quickly express acc"
3023783,128162,O,261183.18,1995-11-29,1-URGENT,"Clerk#000000545",0,"ld pinto beans. speci"
3023808,11926,O,113001.95,1996-06-04,3-MEDIUM,"Clerk#000000478",0,"ic requests are carefully even "
3023809,22252,F,157360.93,1992-08-09,1-URGENT,"Clerk#000000195",0,"-- quickly pending ideas above the furious"
3023810,16492,F,24811.54,1992-03-30,"4-NOT SPECIFIED","Clerk#000000713",0,"ut the enticingly special instructions. carefully silent deposits are blithe"
3023811,113270,F,182794.54,1994-03-01,1-URGENT,"Clerk#000000645",0,"sts. fluffily special accounts in place of the "
3023812,70207,F,44026.71,1992-01-31,1-URGENT,"Clerk#000000603",0,"less asymptotes cajole fluffily. regular,"
3023813,43891,O,156110.90,1995-12-08,"4-NOT SPECIFIED","Clerk#000000846",0,"tes. blithely even packages detect fluffily between the blithely unusual exc"
3023814,114521,F,43559.42,1993-12-10,2-HIGH,"Clerk#000000788",0,"e special, ironic reque"
3023815,102518,O,204552.66,1996-12-09,5-LOW,"Clerk#000000962",0,"sleep fluffily dogged deposits. quickly regular d"
3023840,118232,F,141233.79,1993-01-10,"4-NOT SPECIFIED","Clerk#000000072",0,"ze. furiously even courts doubt carefully special depths. fluffily even pin"
3023841,62323,F,10007.73,1993-07-15,3-MEDIUM,"Clerk#000000602",0,"y express pinto beans sleep blithely above the furiously unusual requests. fl"
3023842,6025,F,235884.77,1993-12-07,5-LOW,"Clerk#000000230",0,"otes wake furiously. quickly bold requests use along the enticingly even"
3023843,1753,O,199101.62,1997-05-05,1-URGENT,"Clerk#000000043",0,"the quickly express packages cajole idly blithely regular instructions. bli"
3023844,59882,O,149853.43,1996-02-23,1-URGENT,"Clerk#000000109",0,"among the ironic, even accounts. express requests are accounts. carefu"
3023845,70487,O,20514.49,1996-01-10,3-MEDIUM,"Clerk#000000517",0," theodolites cajole furiously after the sometimes express deposi"
3023846,117373,F,10625.93,1992-04-17,2-HIGH,"Clerk#000000780",0,"ove the regular pinto beans. fluffily final as"
3023847,31412,O,221765.01,1998-03-14,"4-NOT SPECIFIED","Clerk#000000629",0,"theodolites wake packages. careful"
3023872,81727,F,40330.91,1994-04-20,"4-NOT SPECIFIED","Clerk#000000567",0,"e the bold packages boost furiously sly asymptotes. bold deposi"
3023873,4547,F,158445.54,1993-05-16,3-MEDIUM,"Clerk#000000099",0,"gle blithely against t"
3023874,64018,O,346026.99,1995-12-15,3-MEDIUM,"Clerk#000000174",0," idle packages. unus"
3023875,135274,F,369279.86,1992-07-12,5-LOW,"Clerk#000000759",0,"furiously ironic deposits. fluffily pending the"
3023876,141269,O,174632.34,1996-02-13,"4-NOT SPECIFIED","Clerk#000000357",0," busy pinto beans sleep carefully carefull"
3023877,101572,O,303446.92,1998-05-16,1-URGENT,"Clerk#000000259",0,"ial requests are deposit"
3023878,101276,F,94311.62,1994-01-29,"4-NOT SPECIFIED","Clerk#000000028",0,"pecial requests. bold, regular deposits s"
3023879,90040,F,47415.72,1992-08-16,1-URGENT,"Clerk#000000652",0,"e of the carefully final packages-- slyly pending packages n"
3023904,89299,F,173417.49,1992-12-27,1-URGENT,"Clerk#000000630",0,"across the bold, ironi"
3023905,78250,O,214274.43,1996-07-13,"4-NOT SPECIFIED","Clerk#000000100",0,"ecial pinto beans. idly regular packages sleep "
3023906,93037,O,219986.95,1996-06-26,3-MEDIUM,"Clerk#000000384",0,"ong the furiously regular accou"
3023907,68545,O,127903.60,1996-08-31,1-URGENT,"Clerk#000000106",0,"deposits wake careful"
3023908,15757,O,178981.75,1995-07-19,5-LOW,"Clerk#000000823",0,"lithely thin instructi"
3023909,76664,O,219435.22,1997-04-13,3-MEDIUM,"Clerk#000000653",0," even accounts across the blithely final deposits cajole across"
3023910,125287,O,127728.21,1997-08-27,3-MEDIUM,"Clerk#000000948",0,"sits above the unusual dependencies are about the slyly p"
3023911,120703,F,78648.31,1993-02-21,"4-NOT SPECIFIED","Clerk#000000828",0," pinto beans! furiously ironic packages wake quickly slyly "
3023936,36427,O,302341.18,1996-11-01,1-URGENT,"Clerk#000000625",0,"usly regular waters use. bold platelets sleep blithely from t"
3023937,72331,O,139982.25,1998-07-02,"4-NOT SPECIFIED","Clerk#000000451",0,"r the pinto beans. asympto"
3023938,33604,F,196287.71,1993-11-10,5-LOW,"Clerk#000000472",0," dazzle furiously with the slyl"
3023939,31252,O,83868.62,1997-11-11,2-HIGH,"Clerk#000000400",0,"he even ideas. slyly silent foxes cajole acc"
3023940,74407,F,265894.10,1992-08-04,1-URGENT,"Clerk#000000500",0,"thely excuses. slyly unusual deposits boost "
3023941,4297,O,198018.15,1998-04-10,5-LOW,"Clerk#000000007",0,"ng the accounts cajole furiously a"
3023942,68611,O,217297.66,1998-05-14,3-MEDIUM,"Clerk#000000494",0,"to beans. even ideas cajole blit"
3023943,66217,F,39471.60,1995-04-30,1-URGENT,"Clerk#000000421",0,"g to the carefully regular foxes haggle alo"
3023968,36670,O,249270.66,1998-07-15,5-LOW,"Clerk#000000108",0,"ckly regular orbits. blithely special "
3023969,109595,O,117662.23,1995-12-16,"4-NOT SPECIFIED","Clerk#000000428",0,"efully special excuses. carefully thin packages "
3023970,102967,F,31758.39,1992-05-10,3-MEDIUM,"Clerk#000000734",0,"rave theodolites. slyly even somas a"
3023971,8189,O,109641.68,1997-01-01,1-URGENT,"Clerk#000000211",0,"yly even accounts wake blithely quickly unusual excuses. ironic ex"
3023972,76456,F,22853.67,1993-07-31,2-HIGH,"Clerk#000000999",0,"accounts snooze. blithely"
3023973,84751,O,191400.81,1996-12-01,5-LOW,"Clerk#000000845",0," hinder among the furiously even asymptotes."
3023974,138112,O,62950.03,1997-04-21,5-LOW,"Clerk#000000836",0,"es haggle quickly against the requests. ca"
3023975,130666,F,277589.51,1993-09-02,"4-NOT SPECIFIED","Clerk#000000366",0,"hily regular request"
3024000,81172,O,40156.56,1997-07-27,1-URGENT,"Clerk#000000002",0,"ut the accounts. regular, regular theodolites "
3024001,574,O,10425.54,1997-11-18,5-LOW,"Clerk#000000536",0,"l, final ideas alongside of the blithely idle asymptotes affix slyl"
3024002,34819,F,169664.15,1994-06-23,1-URGENT,"Clerk#000000803",0,"the furiously pending requests are fluffily regular courts"
3024003,26119,O,174164.61,1998-06-15,5-LOW,"Clerk#000000639",0,"ns cajole slyly after"
3024004,62941,O,83064.82,1996-05-29,2-HIGH,"Clerk#000000362",0," blithely express accounts. quickly regular deposits affix above the sly"
3024005,45355,O,4290.64,1996-02-16,1-URGENT,"Clerk#000000472",0,"pending deposits affix alongside of t"
3024006,125644,F,135524.57,1994-01-14,1-URGENT,"Clerk#000000327",0," along the blithely regular platelets. blithely "
3024007,137317,O,105533.35,1997-02-23,5-LOW,"Clerk#000000205",0,"y according to the deposit"
3024032,119785,O,13113.88,1997-01-02,5-LOW,"Clerk#000000993",0,"latelets sleep carefully around the dogged decoys. fluffily fin"
3024033,67690,O,264173.63,1996-01-27,5-LOW,"Clerk#000000193",0,"the slyly ironic reques"
3024034,57526,F,289302.79,1992-12-31,2-HIGH,"Clerk#000000820",0,"r the furiously ironic foxes. slyly final i"
3024035,58303,O,171975.92,1997-04-24,"4-NOT SPECIFIED","Clerk#000000924",0,"nstructions haggle. special, express accounts believe? packages cajole slyly. "
3024036,93563,O,198863.83,1995-11-26,2-HIGH,"Clerk#000000002",0,"ironic requests cajole evenly above the express, ironic id"
3024037,60491,F,236969.08,1993-03-04,"4-NOT SPECIFIED","Clerk#000000523",0,"ptotes alongside of the express deposits are furi"
3024038,114250,F,55683.85,1995-03-30,2-HIGH,"Clerk#000000187",0,", ironic pinto beans use. slyly pendin"
3024039,27865,O,238024.07,1998-01-11,"4-NOT SPECIFIED","Clerk#000000823",0,"h along the pending, regular deposits. caref"
3024064,26536,O,262498.48,1998-07-14,"4-NOT SPECIFIED","Clerk#000000085",0,"furiously. bold pinto beans are carefully. blithely e"
3024065,26165,F,107446.99,1995-03-06,1-URGENT,"Clerk#000000013",0," regular tithes across the fin"
3024066,94078,F,221886.19,1993-09-05,3-MEDIUM,"Clerk#000000417",0,"s. even, regular deposits"
3024067,14953,P,170417.37,1995-03-31,5-LOW,"Clerk#000000017",0,"ul pinto beans. carefully final courts wake quickly. fluffily special theodol"
3024068,46103,O,225335.49,1998-04-28,5-LOW,"Clerk#000000720",0,"e carefully final foxes haggle ironic requests. carefully regular packages"
3024069,100211,O,171709.07,1996-05-04,2-HIGH,"Clerk#000000202",0,"egular foxes engage carefully "
3024070,38686,O,151365.46,1997-05-12,1-URGENT,"Clerk#000000360",0," the blithely special"
3024071,72796,F,279548.93,1993-03-01,2-HIGH,"Clerk#000000544",0,"c packages wake quickly slyly silent packages? silent foxes promise car"
3024096,53045,O,220101.87,1996-06-29,3-MEDIUM,"Clerk#000000732",0," along the quickly even accounts. carefully even theodolites around "
3024097,75568,F,70366.94,1992-06-21,2-HIGH,"Clerk#000000459",0,"gular foxes. blithely final packages boost "
3024098,146992,O,303088.50,1996-11-10,"4-NOT SPECIFIED","Clerk#000000728",0,"latelets wake carefully express, enticing platelets. ruthless, even pack"
3024099,116192,F,377376.19,1993-08-06,"4-NOT SPECIFIED","Clerk#000000970",0,"es haggle above the fluffily even foxes. deposits nag. carefully specia"
3024100,123826,F,12895.76,1994-03-01,5-LOW,"Clerk#000000723",0,"rets doze furiously ironic pinto beans. blithely regular packages hag"
3024101,18925,F,226078.73,1992-01-30,2-HIGH,"Clerk#000000562",0,"es. blithely unusual ideas a"
3024102,56638,F,145373.80,1992-03-28,5-LOW,"Clerk#000000623",0," blithely close requests. unusual requests "
3024103,11473,O,93680.34,1997-10-19,3-MEDIUM,"Clerk#000000780",0,"slyly final, regular excuses. busily ironic Tiresias haggle"
3024128,61660,F,155487.10,1994-09-12,"4-NOT SPECIFIED","Clerk#000000629",0,"even theodolites nag furiously against the furiously final dinos. furiou"
3024129,117244,F,159574.42,1993-05-09,"4-NOT SPECIFIED","Clerk#000000340",0,"e blithely along the blithely final packages. platelets cajole. e"
3024130,108733,O,323194.35,1998-07-27,2-HIGH,"Clerk#000000944",0," the furiously ironic deposits. daringly special packa"
3024131,143476,O,65000.46,1996-06-28,"4-NOT SPECIFIED","Clerk#000000664",0,"ely ironic accounts boost slyly final account"
3024132,122152,O,143677.74,1997-11-25,"4-NOT SPECIFIED","Clerk#000000346",0,"ss instructions. carefully regula"
3024133,86233,F,7839.55,1993-04-21,"4-NOT SPECIFIED","Clerk#000000130",0,"uriously fluffy requests. blithely unusual deposits into the de"
3024134,139304,F,240198.84,1994-03-15,"4-NOT SPECIFIED","Clerk#000000973",0,"old requests haggle furiously pending platelets. "
3024135,76813,O,252575.62,1995-12-04,1-URGENT,"Clerk#000000124",0,"e of the blithely ironic packages. bravely express requests cajole blit"
3024160,83903,O,264785.42,1998-01-05,5-LOW,"Clerk#000000910",0,"arefully regular warhorse"
3024161,147511,O,258058.27,1997-01-29,5-LOW,"Clerk#000000171",0,"slyly bold requests. fluffily ironic pinto beans wake slyly."
3024162,144991,O,223244.98,1996-11-22,1-URGENT,"Clerk#000000244",0," wake ironically quickly u"
3024163,110783,O,136836.51,1996-01-01,3-MEDIUM,"Clerk#000000827",0," the blithely regular requests. bold excuses cajole across th"
3024164,120643,F,63923.10,1992-07-12,1-URGENT,"Clerk#000000855",0,"nag carefully final foxes. braids boost quickly furiously ironic"
3024165,84133,O,296263.90,1997-10-28,1-URGENT,"Clerk#000000144",0,"ly bold pinto beans cajole slyly even foxes. even, regular accounts wak"
3024166,121069,F,129777.92,1994-06-02,3-MEDIUM,"Clerk#000000058",0,"al, regular excuses. slyly final excuses sleep bli"
3024167,43511,F,72189.43,1992-01-10,5-LOW,"Clerk#000000296",0,"old, regular requests. tithes wake "
3024192,28793,O,237530.55,1997-02-15,1-URGENT,"Clerk#000000821",0,"usual deposits. blithely fina"
3024193,22189,O,135211.42,1997-01-15,2-HIGH,"Clerk#000000684",0,"ng the fluffily unusual theodolites. fluffily "
3024194,22402,O,118107.90,1996-10-18,3-MEDIUM,"Clerk#000000819",0,"onic deposits boost alongside of the furiously bold ideas. even, fin"
3024195,141029,F,232742.93,1993-04-29,5-LOW,"Clerk#000000020",0,"aters sublate slyly furiously final excuses. blithely "
3024196,107671,F,183589.43,1994-08-20,1-URGENT,"Clerk#000000717",0,"ously final requests cajole final, ir"
3024197,143336,F,167513.22,1995-01-12,1-URGENT,"Clerk#000000593",0,"its cajole silently ironic accounts. even asymptotes detect slyly quickly spec"
3024198,45511,F,102296.21,1994-08-31,3-MEDIUM,"Clerk#000000245",0,"posits. requests sleep furiously across the quickly "
3024199,30037,F,283639.08,1992-12-02,5-LOW,"Clerk#000000765",0,"ithely across the furiously even requests. ideas wake alongside of t"
3024224,51230,O,172543.84,1997-07-01,1-URGENT,"Clerk#000000778",0,"ke above the slyly even decoys. stealthy deposits haggle rut"
3024225,10699,F,178929.40,1994-03-31,2-HIGH,"Clerk#000000320",0,"wake furiously among the final id"
3024226,114200,O,41416.27,1998-07-22,5-LOW,"Clerk#000000254",0,"luffily pending packages use slyly. unusual requests after the thinl"
3024227,106993,O,121423.69,1996-02-04,2-HIGH,"Clerk#000000519",0,"ts. slyly ironic theodolites ha"
3024228,13280,O,238335.18,1996-10-19,3-MEDIUM,"Clerk#000000438",0," special instructions boost: carefully final idea"
3024229,146363,O,135888.54,1996-06-12,"4-NOT SPECIFIED","Clerk#000000440",0,"s must use. carefully ironic packages are furiously among the final dep"
3024230,72734,F,198117.84,1994-04-11,5-LOW,"Clerk#000000503",0,"instructions wake busily. requests"
3024231,80234,F,114567.97,1992-11-10,5-LOW,"Clerk#000000106",0,"s. regular forges cajole. ironic requests after the final, fina"
3024256,141418,O,70529.09,1995-10-26,2-HIGH,"Clerk#000000727",0,"y even pains wake accounts. blithely silent dolphins nag fluff"
3024257,49765,O,191749.11,1997-10-08,3-MEDIUM,"Clerk#000000412",0,"y about the furiously express pinto beans. furio"
3024258,139481,F,145395.74,1995-02-15,"4-NOT SPECIFIED","Clerk#000000350",0,"ronic escapades. furiously unusual ideas use. "
3024259,45656,F,289999.30,1994-12-30,5-LOW,"Clerk#000000667",0," around the carefully final requests. even pinto beans sleep blithely acc"
3024260,74575,F,289842.65,1994-11-08,3-MEDIUM,"Clerk#000000043",0,"equests. quickly regular instructions hag"
3024261,99244,O,69522.26,1997-06-10,1-URGENT,"Clerk#000000728",0,"n pinto beans kindle carefully"
3024262,125128,F,118578.22,1993-07-04,"4-NOT SPECIFIED","Clerk#000000349",0,"d requests. quickly ironic asymptote"
3024263,8834,O,83860.39,1998-05-17,3-MEDIUM,"Clerk#000000416",0,"ts are furiously carefully regular deposits."
3024288,108998,F,107533.52,1994-02-24,1-URGENT,"Clerk#000000780",0," blithely requests. furiously final accounts"
3024289,115930,O,70383.51,1997-08-10,"4-NOT SPECIFIED","Clerk#000000907",0,"es. blithely ironic deposits sleep doggedly regular pa"
3024290,60526,F,172611.44,1992-03-25,2-HIGH,"Clerk#000000986",0,"usly regular multipliers. furious reque"
3024291,89192,F,121453.08,1992-12-27,"4-NOT SPECIFIED","Clerk#000000029",0,"tes can doze against the daringly even pac"
3024292,83167,O,322769.55,1998-07-24,5-LOW,"Clerk#000000494",0,"ep furiously special instructions. blithely regular requests sleep bl"
3024293,55837,O,76774.49,1995-10-21,3-MEDIUM,"Clerk#000000613",0,"arefully regular accounts boost blithely across the furiously even d"
